,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
80482,80482,35295430302,3529543,3,2,1,5,0,9,0,10.0,2,125,38.7,11757,1,2,1,5,2,,4,1,1,1,1,1,2,5,6.0,6.0,4,3
80493,80493,35295990202,3529599,2,2,1,2,0,9,0,1.0,1,15,4.17,11725,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,1,3
80494,80494,35295990203,3529599,2,3,0,2,1,3,0,1.0,1,20,3.93,11725,0,2,1,19,11,,1,1,1,1,2,2,1,3,2.0,3.0,1,3
80498,80498,35296000102,3529600,1,2,1,5,0,9,0,1.0,1,5,0.46,11726,0,2,1,19,11,,1,1,1,1,1,1,1,1,1.0,2.0,2,3
80499,80499,35296000103,3529600,1,3,0,5,1,3,0,1.0,1,5,0.46,11726,0,2,1,19,11,,1,1,1,1,2,2,1,1,1.0,2.0,2,3
80500,80500,35296000202,3529600,2,2,1,5,0,9,0,1.0,1,15,5.03,11726,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,2,3
80501,80501,35296000203,3529600,2,3,0,5,1,3,0,1.0,1,17,5.23,11702,0,2,1,19,11,,1,1,1,1,3,3,1,2,3.0,4.0,2,3
80502,80502,35296000302,3529600,3,2,1,5,0,9,0,1.0,1,10,1.86,11726,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,2,3
80503,80503,35296000303,3529600,3,3,0,5,1,3,0,1.0,1,10,2.66,11758,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,2,3
80519,80519,35296190102,3529619,1,2,1,4,0,9,0,7.1,1,96,0.0,11743,1,2,1,6,3,2.0,2,2,2,1,1,1,1,5,6.0,6.0,4,3
80545,80545,35296250104,3529625,1,4,1,4,0,9,0,7.1,1,118,41.44,11743,1,2,1,6,3,2.0,2,2,2,1,1,1,1,5,6.0,6.0,4,2
80547,80547,35296250202,3529625,2,2,1,4,0,9,0,1.0,1,17,7.15,11743,0,2,1,19,11,,1,1,1,1,1,1,1,2,4.0,5.0,4,2
