,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
653,19,1,2,1,0,1,20,7.35
654,19,1,9,3,0,2,8,2.91
655,19,2,9,3,0,2,5,1.6
656,19,2,9,3,0,2,15,2.91
657,19,1,9,3,0,2,29,5.75
658,19,1,9,3,0,2,30,6.55
659,17,2,2,3,0,4,10,2.42
660,19,1,2,3,0,4,18,12.55
661,19,1,2,3,0,4,30,12.06
662,17,2,2,3,1,4,90,28.42
663,17,2,2,3,0,4,5,2.42
664,19,2,2,3,0,4,10,2.42
665,19,2,2,3,1,4,90,28.42
666,19,2,2,3,0,4,5,2.42
667,19,1,4,2,0,4,7,2.01
668,19,1,4,2,0,4,10,2.01
669,19,2,4,2,0,4,5,2.01
670,19,1,4,2,0,4,54,25.94
671,19,1,4,2,0,4,60,22.17
672,19,1,4,2,0,4,17,0.0
673,19,1,4,2,0,4,5,0.77
674,19,1,4,2,0,4,18,0.0
675,6,1,4,2,1,3,120,0.0
676,19,2,4,2,0,4,30,5.69
677,19,1,4,2,1,4,5,2.1
678,19,2,4,2,0,4,35,5.82
679,19,2,4,2,0,4,10,2.23
680,19,1,4,2,0,4,25,8.81
681,19,1,4,2,0,4,30,6.47
682,6,1,9,2,1,2,80,0.0
683,19,1,2,1,0,1,20,6.27
