,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
74009,74009,35067310105,3506731,1,5,0,1,0,9,18,1,5,0,1.0,9.0,1,28,12.22,21.1,11725,11746,11746,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,2,2
74010,74010,35067310106,3506731,1,6,0,1,0,18,20,5,6,0,1.0,9.0,1,6,1.18,3.11,11746,11746,11746,0,2,1,19,11,,1,1,1,1,2,3,3,1,1,1.0,1.0,2,2
74011,74011,35067310107,3506731,1,7,0,1,1,20,3,6,0,0,1.0,9.0,1,6,1.18,3.11,11746,11746,11746,0,2,1,19,11,,1,1,1,1,2,3,3,1,1,1.0,2.0,2,2
74012,74012,35067340102,3506734,1,2,1,3,0,3,9,0,1,0,1.0,9.0,1,64,47.64,74.27,11772,11937,11772,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,4,2
74013,74013,35067340103,3506734,1,3,0,3,1,9,3,1,0,0,1.0,9.0,1,60,47.65,74.02,11937,11772,11772,0,2,1,19,11,,1,1,1,1,1,3,3,1,4,6.0,6.0,4,2
74014,74014,35067340202,3506734,2,2,1,3,0,3,9,0,1,0,1.0,9.0,1,5,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,1.0,2.0,4,2
74015,74015,35067340203,3506734,2,3,0,3,1,9,3,1,0,0,1.0,9.0,1,3,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,1.0,2.0,4,2
74018,74018,35067340206,3506734,2,6,1,3,0,3,9,0,1,0,1.0,9.0,1,4,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,1.0,2.0,4,2
74019,74019,35067340207,3506734,2,7,0,3,0,9,19,1,6,0,1.0,9.0,1,7,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,2.0,3.0,4,2
74020,74020,35067340208,3506734,2,8,0,3,0,19,9,6,1,0,1.0,9.0,1,6,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,2
74021,74021,35067340209,3506734,2,9,0,3,1,9,3,1,0,0,1.0,9.0,1,2,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,1.0,4,2
74022,74022,35067340210,3506734,2,10,1,3,0,3,9,0,1,0,1.0,9.0,1,4,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,4,2
74023,74023,35067340211,3506734,2,11,0,3,0,9,6,1,4,0,1.0,9.0,1,9,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,2.0,3.0,4,2
74024,74024,35067340212,3506734,2,12,0,3,0,6,17,4,5,0,2.1,9.0,2,5,2.33,5.84,11772,11772,11772,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,1.0,4,2
