,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3765,3765,101410,101410,36986470102,3698647,1,2,2,60,4.71,0,17,2,3,2
3766,3766,101411,101411,36986470103,3698647,1,3,2,60,4.7,0,17,2,3,2
3767,3767,101412,101412,36986880102,3698688,1,2,2,72,36.8,1,6,1,9,2
3768,3768,101414,101414,36986880202,3698688,2,2,2,20,6.06,0,19,1,9,2
3769,3769,101415,101415,36986880203,3698688,2,3,2,20,6.84,0,19,1,9,2
3770,3770,101421,101421,36986910202,3698691,2,2,2,10,2.54,0,19,1,4,3
3771,3771,101422,101422,36986910203,3698691,2,3,2,10,2.54,0,19,1,4,3
3772,3772,101423,101423,36986910204,3698691,2,4,2,10,2.54,0,19,1,4,3
3773,3773,101424,101424,36986910205,3698691,2,5,2,10,2.54,0,19,1,4,3
3774,3774,101429,101429,36987740202,3698774,2,2,5,90,25.08,1,6,1,2,2
3775,3775,101437,101437,36989530102,3698953,1,2,4,5,1.83,0,19,1,4,3
3776,3776,101438,101438,36989530103,3698953,1,3,4,5,1.8,0,19,1,4,3
3777,3777,101439,101439,36989530202,3698953,2,2,4,5,1.44,0,19,1,4,3
3778,3778,101440,101440,36989530203,3698953,2,3,4,5,1.42,0,19,1,4,3
3779,3779,101453,101453,36990660102,3699066,1,2,2,71,0.0,1,12,1,3,1
3780,3780,101455,101455,36991630202,3699163,2,2,3,105,17.65,1,6,1,4,3
3781,3781,101457,101457,36991630302,3699163,3,2,3,15,3.3,0,19,1,4,3
3782,3782,101458,101458,36991630303,3699163,3,3,3,30,3.1,0,19,1,4,3
3783,3783,101459,101459,36992230202,3699223,2,2,2,22,8.93,0,19,1,4,2
3784,3784,101460,101460,36992230203,3699223,2,3,2,19,9.46,0,19,1,4,2
3785,3785,101461,101461,36992230204,3699223,2,4,2,17,8.93,0,19,1,4,2
3786,3786,101462,101462,36992230205,3699223,2,5,2,4,0.67,0,19,1,4,2
3787,3787,101463,101463,36992230206,3699223,2,6,2,24,5.59,0,1,1,4,2
3788,3788,101464,101464,36992230207,3699223,2,7,2,19,4.53,0,1,1,4,2
3789,3789,101465,101465,36992230208,3699223,2,8,2,9,0.67,0,19,1,4,2
3790,3790,101466,101466,36992230209,3699223,2,9,2,28,9.46,0,19,1,4,2
3791,3791,101484,101484,36992530102,3699253,1,2,3,90,24.62,1,6,2,4,3
3792,3792,101486,101486,36992530302,3699253,3,2,3,75,25.33,1,6,2,4,3
3793,3793,101493,101493,36992820202,3699282,2,2,4,35,18.24,1,19,1,4,2
3794,3794,101515,101515,36995270202,3699527,2,2,2,6,3.19,0,19,1,4,2
3795,3795,101516,101516,36995270203,3699527,2,3,2,49,34.95,0,19,2,4,2
3796,3796,101518,101518,36995270205,3699527,2,5,2,9,3.19,0,19,1,4,2
3797,3797,102398,102398,37066820202,3706682,2,2,5,25,6.63,0,19,1,4,3
3798,3798,102399,102399,37066820203,3706682,2,3,5,30,6.68,0,19,1,4,3
3799,3799,102455,102455,37069860202,3706986,2,2,3,37,3.18,0,19,1,4,3
3800,3800,102456,102456,37069860203,3706986,2,3,3,15,10.82,0,19,1,4,3
3801,3801,102457,102457,37069860204,3706986,2,4,3,13,0.98,0,19,1,4,3
3802,3802,102458,102458,37069860205,3706986,2,5,3,35,13.11,0,19,1,4,3
3803,3803,102459,102459,37069860302,3706986,3,2,3,35,26.1,0,19,1,4,3
3804,3804,102460,102460,37069860303,3706986,3,3,3,24,21.36,0,19,1,4,3
3805,3805,102461,102461,37069860304,3706986,3,4,3,13,5.28,0,19,1,4,3
